Tweet Id,Target,Stance,Opinion Towards,Sentiment
1243346962029727745,fauci,FAVOR,_,_
1243348942256996358,fauci,FAVOR,_,_
1244932791420293120,fauci,FAVOR,_,_
1241848475756777477,fauci,FAVOR,_,_
1241849826356219906,fauci,FAVOR,_,_
1241863508427300865,fauci,FAVOR,_,_
1241946215400570883,fauci,FAVOR,_,_
1241979602148483073,fauci,FAVOR,_,_
1242099546131496962,fauci,FAVOR,_,_
1244362861129764864,fauci,FAVOR,_,_
1244369302683144197,fauci,FAVOR,_,_
1244405391540260865,fauci,FAVOR,_,_
1244613617640767489,fauci,FAVOR,_,_
1244745494120681473,fauci,FAVOR,_,_
1244753677396688896,fauci,FAVOR,_,_
1245114798196613120,fauci,FAVOR,_,_
1245139344358166528,fauci,FAVOR,_,_
1245149540195471361,fauci,FAVOR,_,_
1245310769174118400,fauci,FAVOR,_,_
1245347113132679168,fauci,FAVOR,_,_
1245448070344646656,fauci,FAVOR,_,_
1245519616614465537,fauci,FAVOR,_,_
1245539317293789184,fauci,FAVOR,_,_
1245545461685137411,fauci,FAVOR,_,_
1245556354795704323,fauci,FAVOR,_,_
1245563698791489537,fauci,FAVOR,_,_
1245629126083350529,fauci,FAVOR,_,_
1245694745243942913,fauci,FAVOR,_,_
1245728567964635138,fauci,FAVOR,_,_
1245738009028374529,fauci,FAVOR,_,_
1233834058704138244,fauci,FAVOR,_,_
1234514833887956997,fauci,FAVOR,_,_
1245948056798777349,fauci,FAVOR,_,_
1246107422344671232,fauci,FAVOR,_,_
1246188812817981440,fauci,FAVOR,_,_
1246205972365955078,fauci,FAVOR,_,_
1246220655890182144,fauci,FAVOR,_,_
1246229117181349888,fauci,FAVOR,_,_
1246253074425024513,fauci,FAVOR,_,_
1246283458575400960,fauci,FAVOR,_,_
1246386709316677632,fauci,FAVOR,_,_
1246396095682482177,fauci,FAVOR,_,_
1246403231175106561,fauci,FAVOR,_,_
1246415678376153089,fauci,FAVOR,_,_
1246542887526862848,fauci,FAVOR,_,_
1246562840334434309,fauci,FAVOR,_,_
1247597088734576644,fauci,FAVOR,_,_
1247668076721647617,fauci,FAVOR,_,_
1247670568415084549,fauci,FAVOR,_,_
1247675559863353345,fauci,FAVOR,_,_
1247839541253345285,fauci,FAVOR,_,_
1247905776816902146,fauci,FAVOR,_,_
1247906075006902272,fauci,FAVOR,_,_
1247961355736559616,fauci,FAVOR,_,_
1248046755545075712,fauci,FAVOR,_,_
1248061419452600321,fauci,FAVOR,_,_
1248105237359013890,fauci,FAVOR,_,_
1248134136247787521,fauci,FAVOR,_,_
1248238163182718976,fauci,FAVOR,_,_
1246598534650085378,fauci,FAVOR,_,_
1246725907076673537,fauci,FAVOR,_,_
1246728079621238784,fauci,FAVOR,_,_
1246810014871965699,fauci,FAVOR,_,_
1246827085265612807,fauci,FAVOR,_,_
1246857594574188548,fauci,FAVOR,_,_
1246868587945422848,fauci,FAVOR,_,_
1246907527931052034,fauci,FAVOR,_,_
1246924728935182336,fauci,FAVOR,_,_
1246926558603833345,fauci,FAVOR,_,_
1246934287917576192,fauci,FAVOR,_,_
1246934979931713538,fauci,FAVOR,_,_
1246938334821261312,fauci,FAVOR,_,_
1246941921332756480,fauci,FAVOR,_,_
1246942269414019072,fauci,FAVOR,_,_
1246958119814664194,fauci,FAVOR,_,_
1246959114334371841,fauci,FAVOR,_,_
1246962843104116736,fauci,FAVOR,_,_
1246972393425420288,fauci,FAVOR,_,_
1246980147846057984,fauci,FAVOR,_,_
1246983707317207044,fauci,FAVOR,_,_
1247004735116324867,fauci,FAVOR,_,_
1247064156911677442,fauci,FAVOR,_,_
1247139167169122305,fauci,FAVOR,_,_
1247158833593622528,fauci,FAVOR,_,_
1247166694050500609,fauci,FAVOR,_,_
1247171387808194560,fauci,FAVOR,_,_
1247214148053864449,fauci,FAVOR,_,_
1247219051174166529,fauci,FAVOR,_,_
1247219651479814144,fauci,FAVOR,_,_
1247222561928286209,fauci,FAVOR,_,_
1247288333841170433,fauci,FAVOR,_,_
1247288514342944770,fauci,FAVOR,_,_
1247313776627658754,fauci,FAVOR,_,_
1247340153833582592,fauci,FAVOR,_,_
1247347003350118400,fauci,FAVOR,_,_
1247354259286392835,fauci,FAVOR,_,_
1247360064882479104,fauci,FAVOR,_,_
1247415266700558336,fauci,FAVOR,_,_
1247506848384790534,fauci,FAVOR,_,_
1247537625705017349,fauci,FAVOR,_,_
1234950055351607296,fauci,FAVOR,_,_
1234950616872517632,fauci,FAVOR,_,_
1235338811158278146,fauci,FAVOR,_,_
1238315533780553730,fauci,FAVOR,_,_
1238560451774025728,fauci,FAVOR,_,_
1238591791797960704,fauci,FAVOR,_,_
1238868174998835213,fauci,FAVOR,_,_
1239009821107662848,fauci,FAVOR,_,_
1239222132841877505,fauci,FAVOR,_,_
1239333806059868160,fauci,FAVOR,_,_
1248311936690933763,fauci,FAVOR,_,_
1248323207104540673,fauci,FAVOR,_,_
1248339403979649024,fauci,FAVOR,_,_
1248469675245068291,fauci,FAVOR,_,_
1248585844904075264,fauci,FAVOR,_,_
1248705438453043202,fauci,FAVOR,_,_
1248717253459075072,fauci,FAVOR,_,_
1248768659956195328,fauci,FAVOR,_,_
1248798552370712576,fauci,FAVOR,_,_
1248816398324903936,fauci,FAVOR,_,_
1248845338053574658,fauci,FAVOR,_,_
1248926578857381888,fauci,FAVOR,_,_
1248939215771045895,fauci,FAVOR,_,_
1248960783482003457,fauci,FAVOR,_,_
1248988469617201153,fauci,FAVOR,_,_
1248997457448579072,fauci,FAVOR,_,_
1249061328238661635,fauci,FAVOR,_,_
1249065811840569344,fauci,FAVOR,_,_
1249154892586987520,fauci,FAVOR,_,_
1249166722336280578,fauci,FAVOR,_,_
1249181708999634944,fauci,FAVOR,_,_
1249277432655499264,fauci,FAVOR,_,_
1249342212393050114,fauci,FAVOR,_,_
1249357484155981824,fauci,FAVOR,_,_
1249374521913532417,fauci,FAVOR,_,_
1249379182062125057,fauci,FAVOR,_,_
1249403537777233920,fauci,FAVOR,_,_
1249426565613715457,fauci,FAVOR,_,_
1249448844989026304,fauci,FAVOR,_,_
1249463977127456769,fauci,FAVOR,_,_
1249466146316857349,fauci,FAVOR,_,_
1249505737270800384,fauci,FAVOR,_,_
1249507606101667843,fauci,FAVOR,_,_
1249516956497186817,fauci,FAVOR,_,_
1249521377822064643,fauci,FAVOR,_,_
1249529446845034497,fauci,FAVOR,_,_
1249537093010894850,fauci,FAVOR,_,_
1249539967111569410,fauci,FAVOR,_,_
1249543531158437888,fauci,FAVOR,_,_
1249547863404638213,fauci,FAVOR,_,_
1249555544303534086,fauci,FAVOR,_,_
1249582484150349824,fauci,FAVOR,_,_
1249606366509043713,fauci,FAVOR,_,_
1249616201812258822,fauci,FAVOR,_,_
1249639542203666433,fauci,FAVOR,_,_
1249659471133016066,fauci,FAVOR,_,_
1249668324591644672,fauci,FAVOR,_,_
1249672212870815746,fauci,FAVOR,_,_
1249675765626605571,fauci,FAVOR,_,_
1249678600535769090,fauci,FAVOR,_,_
