Tweet Id,Target,Stance,Opinion Towards,Sentiment
1243283469217624064,stay_at_home_orders,FAVOR,_,_
1243286840976818177,stay_at_home_orders,FAVOR,_,_
1243287570718564352,stay_at_home_orders,FAVOR,_,_
1243287579660869633,stay_at_home_orders,FAVOR,_,_
1243289315536334848,stay_at_home_orders,FAVOR,_,_
1243291299609968644,stay_at_home_orders,FAVOR,_,_
1243294990543081472,stay_at_home_orders,FAVOR,_,_
1243298170005790722,stay_at_home_orders,FAVOR,_,_
1243299914693705729,stay_at_home_orders,FAVOR,_,_
1243300984127979522,stay_at_home_orders,FAVOR,_,_
1243302322685566979,stay_at_home_orders,FAVOR,_,_
1243305442916175872,stay_at_home_orders,FAVOR,_,_
1243307263516909568,stay_at_home_orders,FAVOR,_,_
1243310187219427329,stay_at_home_orders,FAVOR,_,_
1243313873911861248,stay_at_home_orders,FAVOR,_,_
1243319443456917506,stay_at_home_orders,FAVOR,_,_
1243320409145122816,stay_at_home_orders,FAVOR,_,_
1243322354438152195,stay_at_home_orders,FAVOR,_,_
1243327781414621184,stay_at_home_orders,FAVOR,_,_
1243327962008760321,stay_at_home_orders,FAVOR,_,_
1243329078209495040,stay_at_home_orders,FAVOR,_,_
1243330126995046402,stay_at_home_orders,FAVOR,_,_
1243333385566785536,stay_at_home_orders,FAVOR,_,_
1243334005858037761,stay_at_home_orders,FAVOR,_,_
1243334518125268998,stay_at_home_orders,FAVOR,_,_
1243334807712460801,stay_at_home_orders,FAVOR,_,_
1243337625500614656,stay_at_home_orders,FAVOR,_,_
1243340201101058048,stay_at_home_orders,FAVOR,_,_
1243341534621097984,stay_at_home_orders,FAVOR,_,_
1243346606457421825,stay_at_home_orders,FAVOR,_,_
1243346610685435907,stay_at_home_orders,FAVOR,_,_
1243350980416004097,stay_at_home_orders,FAVOR,_,_
1243354214035832834,stay_at_home_orders,FAVOR,_,_
1243356189947080704,stay_at_home_orders,FAVOR,_,_
1243358836380983297,stay_at_home_orders,FAVOR,_,_
1243359339449962498,stay_at_home_orders,FAVOR,_,_
1243360560042766336,stay_at_home_orders,FAVOR,_,_
1243363403873128448,stay_at_home_orders,FAVOR,_,_
1243364209733160961,stay_at_home_orders,FAVOR,_,_
1243365044143788033,stay_at_home_orders,FAVOR,_,_
1243366226572673025,stay_at_home_orders,FAVOR,_,_
1243366789767000064,stay_at_home_orders,FAVOR,_,_
1243369422519259137,stay_at_home_orders,FAVOR,_,_
1243372664657453056,stay_at_home_orders,FAVOR,_,_
1243376162841047041,stay_at_home_orders,FAVOR,_,_
1243376653058727938,stay_at_home_orders,FAVOR,_,_
1243380995895652358,stay_at_home_orders,FAVOR,_,_
1243383977592762376,stay_at_home_orders,FAVOR,_,_
1243384208795435012,stay_at_home_orders,FAVOR,_,_
1243388347856220162,stay_at_home_orders,FAVOR,_,_
1243389865787404289,stay_at_home_orders,FAVOR,_,_
1243390130393513991,stay_at_home_orders,FAVOR,_,_
1243390696968441857,stay_at_home_orders,FAVOR,_,_
1243398146203381761,stay_at_home_orders,FAVOR,_,_
1243401410097451008,stay_at_home_orders,FAVOR,_,_
1243403200025079809,stay_at_home_orders,FAVOR,_,_
1243404163804852225,stay_at_home_orders,FAVOR,_,_
1243405783271763969,stay_at_home_orders,FAVOR,_,_
1243407634079731717,stay_at_home_orders,FAVOR,_,_
1243408275304927232,stay_at_home_orders,FAVOR,_,_
